Load images dataset/eroded-dilated_0.9: 96 
[71, 92, 69, 2, 54, 91, 31, 77, 51, 18, 15, 26, 34, 38, 16, 79, 61, 43, 76, 3, 42, 47, 36, 70, 55, 84, 9, 30, 10, 20, 49, 17, 73, 95, 72, 66, 12, 67, 8, 53, 82, 93, 23, 39, 80, 56, 37, 48, 81, 1, 5, 83, 29, 25, 41, 65, 62, 50, 59, 94, 14, 4, 64, 35, 11, 40, 89, 21, 32, 85, 57, 33, 19, 7, 63, 60, 86, 68, 75, 24, 87, 58, 74, 6, 52, 44, 45, 27, 28, 22, 78, 88, 13, 0, 46, 90]
Number of image in Train: 50 | Val: 46
Pretrained model: None
UNet: 101217 number of trainable parameters of model 
Using device: cuda
Starting training for 1000 epochs...
Epoch [103/1000]  train_loss: 8.3806  val_loss: 8.6126 iou:0.8831  time: 1.66s lr: 1.00E-03
Epoch [104/1000]  train_loss: 8.2912  val_loss: 8.1164 iou:0.9019  time: 1.68s lr: 1.00E-03
Epoch [105/1000]  train_loss: 8.2272  val_loss: 7.6453 iou:0.9174  time: 1.80s lr: 1.00E-03
Epoch [106/1000]  train_loss: 8.1704  val_loss: 7.5836 iou:0.9120  time: 1.81s lr: 1.00E-03
Epoch [107/1000]  train_loss: 8.0817  val_loss: 7.7098 iou:0.8938  time: 1.79s lr: 1.00E-03
Epoch [108/1000]  train_loss: 8.0244  val_loss: 7.6193 iou:0.8943  time: 1.91s lr: 1.00E-03
Epoch [109/1000]  train_loss: 7.9386  val_loss: 7.4915 iou:0.8990  time: 1.67s lr: 1.00E-03
Epoch [110/1000]  train_loss: 7.8799  val_loss: 7.4848 iou:0.8987  time: 1.93s lr: 1.00E-03
Epoch [111/1000]  train_loss: 7.8169  val_loss: 7.5564 iou:0.8955  time: 1.80s lr: 1.00E-03
Epoch [112/1000]  train_loss: 7.7498  val_loss: 7.5224 iou:0.8959  time: 1.78s lr: 1.00E-03
Epoch [113/1000]  train_loss: 7.6945  val_loss: 7.3273 iou:0.9039  time: 1.68s lr: 1.00E-03
Epoch [114/1000]  train_loss: 7.6269  val_loss: 7.2970 iou:0.9048  time: 1.65s lr: 1.00E-03
Epoch [115/1000]  train_loss: 7.5622  val_loss: 7.4386 iou:0.8963  time: 1.77s lr: 1.00E-03
Epoch [116/1000]  train_loss: 7.5192  val_loss: 7.2491 iou:0.9000  time: 1.69s lr: 1.00E-03
Epoch [117/1000]  train_loss: 7.4317  val_loss: 7.2866 iou:0.8946  time: 1.86s lr: 1.00E-03
Epoch [118/1000]  train_loss: 7.3928  val_loss: 7.2997 iou:0.8938  time: 1.77s lr: 1.00E-03
Epoch [119/1000]  train_loss: 7.3378  val_loss: 7.0188 iou:0.9018  time: 1.73s lr: 1.00E-03
Epoch [120/1000]  train_loss: 7.2636  val_loss: 6.9642 iou:0.8991  time: 1.82s lr: 1.00E-03
Epoch [121/1000]  train_loss: 7.2157  val_loss: 7.0700 iou:0.8917  time: 1.70s lr: 1.00E-03
Epoch [122/1000]  train_loss: 7.1981  val_loss: 6.7707 iou:0.8990  time: 1.65s lr: 1.00E-03
Epoch [123/1000]  train_loss: 7.0804  val_loss: 6.7911 iou:0.8923  time: 1.81s lr: 1.00E-03
Epoch [124/1000]  train_loss: 7.0943  val_loss: 6.4676 iou:0.9031  time: 1.79s lr: 1.00E-03
Epoch [125/1000]  train_loss: 7.0728  val_loss: 6.7633 iou:0.8862  time: 1.68s lr: 1.00E-03
Epoch [126/1000]  train_loss: 6.9791  val_loss: 6.6805 iou:0.8881  time: 1.67s lr: 1.00E-03
Epoch [127/1000]  train_loss: 6.9534  val_loss: 6.0931 iou:0.9130  time: 1.81s lr: 1.00E-03
Epoch [128/1000]  train_loss: 6.9379  val_loss: 6.6013 iou:0.8894  time: 1.74s lr: 1.00E-03
Epoch [129/1000]  train_loss: 6.8272  val_loss: 6.9631 iou:0.8701  time: 1.64s lr: 1.00E-03
Epoch [130/1000]  train_loss: 6.8034  val_loss: 6.2439 iou:0.9025  time: 1.67s lr: 1.00E-03
Epoch [131/1000]  train_loss: 6.7323  val_loss: 6.3543 iou:0.9002  time: 1.80s lr: 1.00E-03
Epoch [132/1000]  train_loss: 6.6806  val_loss: 6.9396 iou:0.8724  time: 1.64s lr: 1.00E-03
Epoch [133/1000]  train_loss: 6.6265  val_loss: 6.6147 iou:0.8819  time: 1.81s lr: 1.00E-03
Epoch [134/1000]  train_loss: 6.5971  val_loss: 6.5121 iou:0.8862  time: 1.67s lr: 1.00E-03
Epoch [135/1000]  train_loss: 6.5380  val_loss: 6.7516 iou:0.8791  time: 1.99s lr: 1.00E-03
Epoch [136/1000]  train_loss: 6.4727  val_loss: 6.6032 iou:0.8872  time: 1.68s lr: 1.00E-03
Epoch [137/1000]  train_loss: 6.4404  val_loss: 6.3858 iou:0.8918  time: 1.68s lr: 1.00E-03
Epoch [138/1000]  train_loss: 6.3681  val_loss: 6.5815 iou:0.8795  time: 1.65s lr: 1.00E-03
Epoch [139/1000]  train_loss: 6.3570  val_loss: 6.6163 iou:0.8805  time: 1.77s lr: 1.00E-03
Epoch [140/1000]  train_loss: 6.2802  val_loss: 6.5607 iou:0.8827  time: 1.78s lr: 1.00E-03
Epoch [141/1000]  train_loss: 6.2497  val_loss: 6.4733 iou:0.8830  time: 1.71s lr: 1.00E-03
Epoch [142/1000]  train_loss: 6.2074  val_loss: 6.6113 iou:0.8766  time: 1.75s lr: 1.00E-03
Epoch [143/1000]  train_loss: 6.1716  val_loss: 6.7049 iou:0.8712  time: 1.91s lr: 1.00E-03
Epoch [144/1000]  train_loss: 6.1163  val_loss: 6.4133 iou:0.8847  time: 1.65s lr: 1.00E-03
Epoch [145/1000]  train_loss: 6.0765  val_loss: 6.4300 iou:0.8871  time: 1.73s lr: 1.00E-03
Epoch [146/1000]  train_loss: 6.0637  val_loss: 6.6877 iou:0.8722  time: 1.89s lr: 1.00E-03
Epoch [147/1000]  train_loss: 5.9921  val_loss: 6.3101 iou:0.8852  time: 2.01s lr: 1.00E-03
Epoch [148/1000]  train_loss: 5.9645  val_loss: 6.4714 iou:0.8791  time: 1.88s lr: 1.00E-03
Epoch [149/1000]  train_loss: 5.9025  val_loss: 6.6503 iou:0.8726  time: 1.67s lr: 1.00E-03
Epoch [150/1000]  train_loss: 5.8948  val_loss: 6.0865 iou:0.8940  time: 1.78s lr: 1.00E-03
Epoch [151/1000]  train_loss: 5.8860  val_loss: 6.6921 iou:0.8623  time: 1.73s lr: 1.00E-03
Epoch [152/1000]  train_loss: 5.8175  val_loss: 6.7463 iou:0.8617  time: 1.78s lr: 1.00E-03
Epoch [153/1000]  train_loss: 5.7594  val_loss: 6.0392 iou:0.8952  time: 1.65s lr: 1.00E-03
Epoch [154/1000]  train_loss: 5.7795  val_loss: 6.4785 iou:0.8704  time: 1.66s lr: 1.00E-03
Epoch [155/1000]  train_loss: 5.6949  val_loss: 6.6849 iou:0.8583  time: 1.82s lr: 1.00E-03
Epoch [156/1000]  train_loss: 5.7199  val_loss: 6.0475 iou:0.8830  time: 1.71s lr: 1.00E-03
Epoch [157/1000]  train_loss: 5.6659  val_loss: 6.3189 iou:0.8710  time: 1.84s lr: 1.00E-03
Epoch [158/1000]  train_loss: 5.6002  val_loss: 6.1752 iou:0.8748  time: 1.69s lr: 1.00E-03
Epoch [159/1000]  train_loss: 5.5551  val_loss: 5.7403 iou:0.8914  time: 1.76s lr: 1.00E-03
Epoch [160/1000]  train_loss: 5.5397  val_loss: 5.9025 iou:0.8855  time: 1.79s lr: 1.00E-03
Epoch [161/1000]  train_loss: 5.4783  val_loss: 6.3600 iou:0.8671  time: 1.66s lr: 1.00E-03
Epoch [162/1000]  train_loss: 5.4964  val_loss: 5.5564 iou:0.8975  time: 1.78s lr: 1.00E-03
Epoch [163/1000]  train_loss: 5.5156  val_loss: 6.1156 iou:0.8684  time: 1.82s lr: 1.00E-03
Epoch [164/1000]  train_loss: 5.4446  val_loss: 6.8589 iou:0.8359  time: 1.74s lr: 1.00E-03
Epoch [165/1000]  train_loss: 5.4174  val_loss: 5.8542 iou:0.8866  time: 1.65s lr: 1.00E-03
Epoch [166/1000]  train_loss: 5.3733  val_loss: 5.8026 iou:0.8862  time: 1.74s lr: 1.00E-03
Epoch [167/1000]  train_loss: 5.3445  val_loss: 6.4632 iou:0.8585  time: 1.78s lr: 1.00E-03
Epoch [168/1000]  train_loss: 5.3336  val_loss: 6.1426 iou:0.8644  time: 1.67s lr: 1.00E-03
Epoch [169/1000]  train_loss: 5.3537  val_loss: 6.1711 iou:0.8641  time: 1.92s lr: 1.00E-03
Epoch [170/1000]  train_loss: 5.3094  val_loss: 6.0127 iou:0.8678  time: 1.63s lr: 1.00E-03
Epoch [171/1000]  train_loss: 5.2291  val_loss: 5.5665 iou:0.8857  time: 1.95s lr: 1.00E-03
Epoch [172/1000]  train_loss: 5.2794  val_loss: 5.7210 iou:0.8805  time: 1.71s lr: 1.00E-03
Epoch [173/1000]  train_loss: 5.3798  val_loss: 6.2864 iou:0.8517  time: 1.78s lr: 1.00E-03
Epoch [174/1000]  train_loss: 5.1991  val_loss: 5.9914 iou:0.8610  time: 1.75s lr: 1.00E-03
Epoch [175/1000]  train_loss: 5.3337  val_loss: 4.9976 iou:0.9090  time: 1.78s lr: 1.00E-03
Epoch [176/1000]  train_loss: 5.3897  val_loss: 5.3265 iou:0.8943  time: 1.76s lr: 1.00E-03
Epoch [177/1000]  train_loss: 5.3649  val_loss: 6.4872 iou:0.8381  time: 1.72s lr: 1.00E-03
Epoch [178/1000]  train_loss: 5.1546  val_loss: 7.2846 iou:0.8020  time: 1.82s lr: 1.00E-03
Epoch [179/1000]  train_loss: 5.2893  val_loss: 6.0953 iou:0.8688  time: 1.70s lr: 1.00E-03
Epoch [180/1000]  train_loss: 5.1563  val_loss: 5.5841 iou:0.8916  time: 1.68s lr: 1.00E-03
Epoch [181/1000]  train_loss: 5.1584  val_loss: 5.7611 iou:0.8792  time: 1.77s lr: 1.00E-03
Epoch [182/1000]  train_loss: 5.0532  val_loss: 6.3353 iou:0.8471  time: 1.84s lr: 1.00E-03
Epoch [183/1000]  train_loss: 5.0905  val_loss: 6.4589 iou:0.8419  time: 1.72s lr: 1.00E-03
Epoch [184/1000]  train_loss: 4.9590  val_loss: 6.0053 iou:0.8611  time: 1.82s lr: 1.00E-03
Epoch [185/1000]  train_loss: 5.0020  val_loss: 5.5328 iou:0.8784  time: 1.69s lr: 1.00E-03
Epoch [186/1000]  train_loss: 4.8717  val_loss: 5.7017 iou:0.8664  time: 1.86s lr: 1.00E-03
Epoch [187/1000]  train_loss: 4.9085  val_loss: 6.0738 iou:0.8501  time: 1.63s lr: 1.00E-03
Epoch [188/1000]  train_loss: 4.8583  val_loss: 5.6495 iou:0.8705  time: 1.77s lr: 1.00E-03
Epoch [189/1000]  train_loss: 4.8047  val_loss: 5.1503 iou:0.8902  time: 1.79s lr: 1.00E-03
Epoch [190/1000]  train_loss: 4.8061  val_loss: 5.3175 iou:0.8812  time: 1.78s lr: 1.00E-03
Epoch [191/1000]  train_loss: 4.7197  val_loss: 6.4584 iou:0.8296  time: 1.76s lr: 1.00E-03
Epoch [192/1000]  train_loss: 4.7554  val_loss: 5.6825 iou:0.8661  time: 1.81s lr: 1.00E-03
Epoch [193/1000]  train_loss: 4.6584  val_loss: 5.1316 iou:0.8904  time: 1.66s lr: 1.00E-03
Epoch [194/1000]  train_loss: 4.6626  val_loss: 5.1653 iou:0.8878  time: 1.79s lr: 1.00E-03
Epoch [195/1000]  train_loss: 4.6254  val_loss: 5.5739 iou:0.8688  time: 1.66s lr: 1.00E-03
Epoch [196/1000]  train_loss: 4.5833  val_loss: 5.8052 iou:0.8589  time: 1.66s lr: 1.00E-03
Epoch [197/1000]  train_loss: 4.5916  val_loss: 5.5369 iou:0.8690  time: 1.77s lr: 1.00E-03
Epoch [198/1000]  train_loss: 4.5211  val_loss: 5.3259 iou:0.8771  time: 1.67s lr: 1.00E-03
Epoch [199/1000]  train_loss: 4.5256  val_loss: 5.2384 iou:0.8801  time: 1.77s lr: 1.00E-03
Epoch [200/1000]  train_loss: 4.4734  val_loss: 5.3662 iou:0.8742  time: 1.87s lr: 1.00E-03
Epoch [201/1000]  train_loss: 4.4710  val_loss: 5.3574 iou:0.8738  time: 1.79s lr: 1.00E-03
Epoch [202/1000]  train_loss: 4.4290  val_loss: 5.2649 iou:0.8781  time: 1.93s lr: 1.00E-03
Epoch [203/1000]  train_loss: 4.4076  val_loss: 5.2033 iou:0.8815  time: 1.70s lr: 1.00E-03
Epoch [204/1000]  train_loss: 4.3861  val_loss: 5.2226 iou:0.8797  time: 1.80s lr: 1.00E-03
Epoch [205/1000]  train_loss: 4.3519  val_loss: 5.1660 iou:0.8801  time: 1.66s lr: 1.00E-03
Epoch [206/1000]  train_loss: 4.3437  val_loss: 4.9206 iou:0.8901  time: 1.80s lr: 1.00E-03
