Load images dataset/generated_cells: 102 
Number of image in Train: 82 | Val: 20
Pretrained model: None
Using device: cuda
Starting training for 500 epochs...
Epoch [123/500]  train_loss: 10.9458  val_loss: 5.8106 iou:0.9029  time: 1.11s lr: 1.00E-03
Epoch [124/500]  train_loss: 10.8890  val_loss: 5.7884 iou:0.9024  time: 1.12s lr: 1.00E-03
Epoch [125/500]  train_loss: 10.8007  val_loss: 5.7849 iou:0.8999  time: 1.05s lr: 1.00E-03
Epoch [126/500]  train_loss: 10.7424  val_loss: 5.7612 iou:0.8994  time: 1.08s lr: 1.00E-03
Epoch [127/500]  train_loss: 10.6808  val_loss: 5.6786 iou:0.9015  time: 1.07s lr: 1.00E-03
Epoch [128/500]  train_loss: 10.5789  val_loss: 5.5837 iou:0.9009  time: 1.09s lr: 1.00E-03
Epoch [129/500]  train_loss: 10.5032  val_loss: 5.5330 iou:0.9012  time: 1.11s lr: 1.00E-03
Epoch [130/500]  train_loss: 10.4364  val_loss: 5.5330 iou:0.9015  time: 0.97s lr: 1.00E-03
Epoch [131/500]  train_loss: 10.3645  val_loss: 5.5505 iou:0.8998  time: 1.09s lr: 1.00E-03
Epoch [132/500]  train_loss: 10.2878  val_loss: 5.5421 iou:0.9009  time: 1.20s lr: 1.00E-03
Epoch [133/500]  train_loss: 10.2154  val_loss: 5.4894 iou:0.9010  time: 0.97s lr: 1.00E-03
Epoch [134/500]  train_loss: 10.1678  val_loss: 5.5052 iou:0.8855  time: 0.98s lr: 1.00E-03
Epoch [135/500]  train_loss: 10.1075  val_loss: 5.4128 iou:0.9040  time: 0.99s lr: 1.00E-03
Epoch [136/500]  train_loss: 10.1116  val_loss: 5.7337 iou:0.8615  time: 1.10s lr: 1.00E-03
Epoch [137/500]  train_loss: 10.4894  val_loss: 5.7386 iou:0.8547  time: 1.08s lr: 1.00E-03
Epoch [138/500]  train_loss: 10.2970  val_loss: 5.5933 iou:0.8461  time: 1.10s lr: 1.00E-03
Epoch [139/500]  train_loss: 10.1377  val_loss: 6.0610 iou:0.7170  time: 1.09s lr: 1.00E-03
Epoch [140/500]  train_loss: 10.0754  val_loss: 5.6097 iou:0.8548  time: 1.07s lr: 1.00E-03
Epoch [141/500]  train_loss: 9.9549  val_loss: 6.5225 iou:0.7723  time: 0.88s lr: 1.00E-03
Epoch [142/500]  train_loss: 9.8116  val_loss: 7.3759 iou:0.7016  time: 0.92s lr: 1.00E-03
Epoch [143/500]  train_loss: 9.7849  val_loss: 6.2854 iou:0.7825  time: 1.05s lr: 1.00E-03
Epoch [144/500]  train_loss: 9.7100  val_loss: 6.1607 iou:0.7468  time: 1.10s lr: 1.00E-03
Epoch [145/500]  train_loss: 9.5564  val_loss: 6.8882 iou:0.4935  time: 1.07s lr: 1.00E-03
Epoch [146/500]  train_loss: 9.4692  val_loss: 6.0536 iou:0.6684  time: 1.06s lr: 1.00E-03
Epoch [147/500]  train_loss: 9.4264  val_loss: 5.4192 iou:0.8127  time: 0.98s lr: 1.00E-03
Epoch [148/500]  train_loss: 9.3483  val_loss: 5.1747 iou:0.8646  time: 1.12s lr: 1.00E-03
Epoch [149/500]  train_loss: 9.2389  val_loss: 5.1155 iou:0.8781  time: 1.11s lr: 1.00E-03
Epoch [150/500]  train_loss: 9.1822  val_loss: 5.0745 iou:0.8849  time: 1.24s lr: 1.00E-03
Epoch [151/500]  train_loss: 9.1086  val_loss: 5.0041 iou:0.8892  time: 1.22s lr: 1.00E-03
Epoch [152/500]  train_loss: 9.0348  val_loss: 4.9292 iou:0.8904  time: 1.06s lr: 1.00E-03
